LINEA;ID;COBROS
AGRO;CEQ146129;38,629.69
AGRO;CEQ146130;12,062.99
AGRO;CEQ146131;40,749.15
AGRO;CEQ146132;92,886.14
AGRO;CEQ146133;34,231.48
AGRO;CEQ146134;16,115.68
AGRO;CEQ146135;5,607.78
AGRO;CEQ146136;8,807.50
AGRO;CEQ146137;25,366.04
AGRO;CEQ146138;7,925.02
AGRO;CEQ146139;4,941.06
AGRO;CEQ146140;68,554.29
AGRO;CEQ146141;53,477.88
AGRO;CEQ146142;7,798.41
AGRO;CEQ146143;12,254.33
AGRO;CEQ146144;51,533.42
AGRO;CEQ146145;25,524.12
AGRO;CEQ146146;33,681.34
AGRO;CEQ146147;23,666.64
AGRO;CEQ146148;26,775.23
AGRO;CEQ146149;6,639.28
AGRO;CEQ146150;11,789.59
AGRO;CEQ146151;3,820.50
AGRO;CEQ146152;14,226.40
AGRO;CEQ146153;1,269.45
AGRO;CEQ146154;21,162.51
AGRO;CEQ146155;15,610.19
AGRO;CEQ146156;2,976.23
AGRO;CEQ146157;14,087.83
AGRO;CEQ146158;3,379.26
AGRO;CEQ146159;7,871.52
AGRO;CEQ146160;3,475.66
AGRO;CEQ146161;5,285.88
AGRO;CEQ146162;17,708.34
AGRO;CEQ146163;1,921.83
AGRO;CEQ146164;2,060.00
AGRO;CEQ146165;10,000.00
AGRO;CEQ146166;9,884.70
AGRO;CEQ146167;91,709.00
AGRO;CEQ146168;11,448.02
AGRO;CEQ146169;22,101.74
AGRO;CEQ146170;121,489.07
AGRO;CEQ146171;9,734.79
AGRO;CEQ146172;55,909.03
AGRO;CEQ146173;22,815.43
AGRO;CEQ146174;9,624.41
AGRO;CEQ146175;13,020.93
AGRO;CEQ146176;7,394.63
AGRO;CEQ146177;19,819.80
AGRO;CEQ146178;94,389.55
AGRO;CEQ146179;16,331.90
AGRO;CEQ146180;11,352.26
AGRO;CEQ146181;12,256.37
AGRO;CEQ146182;21,606.49
AGRO;CEQ146183;29,380.32
AGRO;CEQ146184;24,030.81
AGRO;CEQ146185;13,877.84
AGRO;CEQ146186;2,995.50
AGRO;CEQ146187;38,311.01
AGRO;CEQ146188;7,018.83
AGRO;CEQ146189;3,844.25
AGRO;CEQ146190;3,357.08
AGRO;CEQ146191;73,754.05
AGRO;CEQ146192;3,724.93
AGRO;CEQ146193;16,015.15
AGRO;CEQ146194;37,837.04
AGRO;CEQ146195;2,957.41
AGRO;CEQ146196;28,265.35
AGRO;CEQ146197;23,995.53
AGRO;CEQ146198;50,524.79
AGRO;CEQ146199;31,378.33
AGRO;CEQ146200;12,933.83
AGRO;CEQ146201;1,915.04
AGRO;CEQ146202;14,201.56
AGRO;CEQ146203;22,448.86
AGRO;CEQ146204;9,721.28
AGRO;CEQ146205;12,916.47
AGRO;CEQ146206;7,586.01
AGRO;CEQ146207;6,626.44
AGRO;CEQ146208;1,464.58
AGRO;CEQ146209;66,064.28
AGRO;CEQ146210;17,954.32
AGRO;CEQ146211;88,583.62
AGRO;CEQ146212;10,709.89
AGRO;CEQ146213;42,582.74
AGRO;CEQ146214;6,361.86
AGRO;CEQ146215;18,892.62
AGRO;CEQ146216;36,150.73
AGRO;CEQ146217;141,024.66
AGRO;CEQ146218;79,180.95
AGRO;CEQ146219;11,207.97
AGRO;CEQ146220;32,273.98
AGRO;CEQ146221;832.26
AGRO;CEQ146222;6,272.99
AGRO;CEQ146223;2,211.55
AGRO;CEQ146224;20,467.13
AGRO;CEQ146225;22,966.47
AGRO;CEQ146226;21,852.70
AGRO;CEQ146227;76,342.37
AGRO;CEQ146228;82,631.99
AGRO;CEQ146229;3,046.36
AGRO;CEQ146230;8,705.49
AGRO;CEQ146231;338.94
AGRO;CEQ146232;128.94
AGRO;CEQ146233;68.47
AGRO;CEQ146234;12,098.68
AGRO;CEQ146235;11,801.38
AGRO;CEQ146236;22,656.40
AGRO;CEQ146237;10,479.45
AGRO;CEQ146238;2,163.23
AGRO;CEQ146239;74,562.56
AGRO;CEQ146240;11,881.19
AGRO;CEQ146241;260.88
AGRO;CEQ146242;21,825.78
AGRO;CEQ146243;15,676.41
AGRO;CEQ146244;4,572.78
AGRO;CEQ146245;208,578.01
AGRO;CEQ146246;44,028.45
AGRO;CEQ146247;148,245.61
AGRO;CEQ146248;16,926.04
AGRO;CEQ146249;11,136.05
AGRO;CEQ146250;22,791.02
AGRO;CEQ146251;26,869.81
AGRO;CEQ146252;64,074.92
AGRO;CEQ146253;4,143.75
AGRO;CEQ146254;122,222.55
AGRO;CEQ146255;31,384.93
AGRO;CEQ146256;15,613.09
AGRO;CEQ146257;169,526.75
AGRO;CEQ146258;10,141.88
AGRO;CEQ146259;2,895.20
AGRO;CEQ146260;13,013.46
AGRO;CEQ146261;78,722.71
AGRO;CEQ146262;35,028.82
AGRO;CEQ146263;142,957.07
AGRO;CEQ146264;39,757.33
AGRO;CEQ146265;39,922.93
AGRO;CEQ146266;46,626.44
AGRO;CEQ146267;40,909.61
AGRO;CEQ146268;59,906.60
AGRO;CEQ146269;112,505.36
AGRO;CEQ146270;357,492.09
AGRO;CEQ146271;71,803.40
AGRO;CEQ146272;5,133.01
AGRO;CEQ146273;4,986.99
AGRO;CEQ146274;11,623.37
AGRO;CEQ146275;10,846.89
AGRO;CEQ146276;4,620.43
AGRO;CEQ146277;10,655.98
AGRO;CEQ146278;64.37
AGRO;CEQ146279;10,004.40
AGRO;CEQ146280;10,022.62
AGRO;CEQ146281;7,614.66
AGRO;CEQ146282;47,315.53
AGRO;CEQ146283;55,578.65
AGRO;CEQ146284;18,311.20
AGRO;CEQ146285;26,545.95
AGRO;CEQ146286;10,061.63
AGRO;CEQ146287;27,313.32
AGRO;CEQ146288;10,420.44
AGRO;CEQ146289;26,799.02
AGRO;CEQ146290;9,906.21
AGRO;CEQ146291;95,514.82
AGRO;CEQ146292;31,109.35
AGRO;CEQ146293;12,433.05
AGRO;CEQ146294;17,181.34
AGRO;CEQ146295;223.74
AGRO;CEQ146296;10,152.85
AGRO;CEQ146297;523.90
AGRO;CEQ146298;10,516.17
AGRO;CEQ146299;14,666.43
AGRO;CEQ146300;7,352.20
AGRO;CEQ146301;7,414.43
AGRO;CEQ146302;18,110.56
AGRO;CEQ146303;7,292.96
AGRO;CEQ146304;440.00
AGRO;CEQ146305;4,525.24
AGRO;CEQ146306;1,287.02
AGRO;CEQ146307;500.00
AGRO;CEQ146308;5,170.24
AGRO;CEQ146309;620.00
AGRO;CEQ146310;10,804.01
AGRO;CEQ146311;14,616.40
AGRO;CEQ146312;14,920.29
AGRO;CEQ146313;11,529.40
AGRO;CEQ146314;3,774.15
AGRO;CEQ146315;853.02
AGRO;CEQ146316;21,265.61
AGRO;CEQ146317;6,357.88
AGRO;CEQ146318;8,271.15
AGRO;CEQ146319;55,203.94
AGRO;CEQ146320;40,524.81
AGRO;CEQ146321;3,581.27
AGRO;CEQ146322;25,225.19
AGRO;CEQ146323;76,645.64
AGRO;CEQ146324;18,694.66
AGRO;CEQ146325;10,387.81
AGRO;CEQ146326;1,021.25
AGRO;CEQ146327;8,655.28
AGRO;CEQ146328;4,179.72
AGRO;CEQ146329;8,987.61
AGRO;CEQ146330;22,556.34
AGRO;CEQ146331;51,017.03
AGRO;CEQ146332;117,281.09
AGRO;CEQ146333;10,782.59
